v8-version,4,5,103,33,0
code-creation,Stub,11,0x1e64ff811740,414,"BinaryOpICStub(MUL:Int32*Int32->Number)"
code-creation,Stub,11,0x1e64ff8118e0,442,"BinaryOpICStub(MUL:Int32*Number->Number)"
code-creation,Stub,11,0x1e64ff811aa0,256,"BinaryOpICStub(MUL:Int32*Smi->Int32)"
code-creation,Stub,11,0x1e64ff811ba0,414,"BinaryOpICStub(MUL:Int32*Smi->Number)"
code-creation,Stub,11,0x1e64ff811d40,442,"BinaryOpICStub(MUL:Number*Int32->Number)"
tick,0x7f9f7855dd90,12585,0,0x0,4
code-creation,Stub,11,0x1e64ff811f00,466,"BinaryOpICStub(MUL:Number*Number->Number)"
code-creation,Stub,11,0x1e64ff8120e0,442,"BinaryOpICStub(MUL:Number*Smi->Number)"
code-creation,Stub,11,0x1e64ff8122a0,256,"BinaryOpICStub(MUL:Smi*Int32->Int32)"
code-creation,Stub,11,0x1e64ff8123a0,414,"BinaryOpICStub(MUL:Smi*Int32->Number)"
code-creation,Stub,11,0x1e64ff812540,442,"BinaryOpICStub(MUL:Smi*Number->Number)"
code-creation,Stub,11,0x1e64ff812700,256,"BinaryOpICStub(MUL:Smi*Smi->Int32)"
code-creation,Stub,11,0x1e64ff812800,414,"BinaryOpICStub(MUL:Smi*Smi->Number)"
code-creation,Stub,11,0x1e64ff8129a0,256,"BinaryOpICStub(MUL:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff812aa0,220,"BinaryOpICStub(SAR:Int32*Smi->Int32)"
code-creation,Stub,11,0x1e64ff812b80,220,"BinaryOpICStub(SAR:Int32*Smi->Smi)"
code-creation,Stub,11,0x1e64ff812c60,344,"BinaryOpICStub(SAR:Number*Smi->Smi)"
code-creation,Stub,11,0x1e64ff812dc0,220,"BinaryOpICStub(SAR:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff812ea0,220,"BinaryOpICStub(SHL:Int32*Smi->Int32)"
code-creation,Stub,11,0x1e64ff812f80,220,"BinaryOpICStub(SHL:Int32*Smi->Smi)"
code-creation,Stub,11,0x1e64ff813060,344,"BinaryOpICStub(SHL:Number*Smi->Smi)"
tick,0xbbefd9,13752,0,0x0,4
code-creation,Stub,11,0x1e64ff8131c0,220,"BinaryOpICStub(SHL:Smi*Smi->Int32)"
code-creation,Stub,11,0x1e64ff8132a0,220,"BinaryOpICStub(SHL:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff813380,248,"BinaryOpICStub(SHR:Int32*Smi->Smi)"
code-creation,Stub,11,0x1e64ff813480,364,"BinaryOpICStub(SHR:Number*Smi->Int32)"
code-creation,Stub,11,0x1e64ff813600,364,"BinaryOpICStub(SHR:Number*Smi->Smi)"
code-creation,Stub,11,0x1e64ff813780,248,"BinaryOpICStub(SHR:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff813880,232,"BinaryOpICStub(SUB:Int32*Int32->Int32)"
code-creation,Stub,11,0x1e64ff813980,442,"BinaryOpICStub(SUB:Int32*Number->Number)"
code-creation,Stub,11,0x1e64ff813b40,232,"BinaryOpICStub(SUB:Int32*Smi->Int32)"
code-creation,Stub,11,0x1e64ff813c40,442,"BinaryOpICStub(SUB:Number*Int32->Number)"
code-creation,Stub,11,0x1e64ff813e00,466,"BinaryOpICStub(SUB:Number*Number->Number)"
code-creation,Stub,11,0x1e64ff813fe0,442,"BinaryOpICStub(SUB:Number*Smi->Number)"
code-creation,Stub,11,0x1e64ff8141a0,232,"BinaryOpICStub(SUB:Smi*Int32->Int32)"
code-creation,Stub,11,0x1e64ff8142a0,442,"BinaryOpICStub(SUB:Smi*Number->Number)"
tick,0xb72c7b,14843,0,0x0,4
code-creation,Stub,11,0x1e64ff814460,232,"BinaryOpICStub(SUB:Smi*Smi->Smi)"
code-creation,Stub,11,0x1e64ff814560,284,"BinaryOpICStub(MOD:Smi*2->Smi)"
code-creation,Stub,11,0x1e64ff814680,284,"BinaryOpICStub(MOD:Smi*4->Smi)"
code-creation,Stub,11,0x1e64ff8147a0,284,"BinaryOpICStub(MOD:Smi*8->Smi)"
code-creation,Stub,11,0x1e64ff8148c0,284,"BinaryOpICStub(MOD:Smi*16->Smi)"
code-creation,Stub,11,0x1e64ff8149e0,284,"BinaryOpICStub(MOD:Smi*32->Smi)"
tick,0xb15840,16707,0,0x0,4
code-creation,Stub,11,0x1e64ff814b00,296,"BinaryOpICStub(MOD:Smi*2048->Smi)"
code-creation,Stub,2,0x1e64ff814c40,2672,"RecordWriteStub"
code-creation,Stub,2,0x1e64ff8156c0,360,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff815840,2702,"RecordWriteStub"
code-creation,Stub,2,0x1e64ff8162e0,188,"DoubleToIStub"
code-creation,Stub,2,0x1e64ff8163a0,938,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff816760,336,"StoreFastElementStub"
tick,0xd1fd32,17694,0,0x0,4
code-creation,Stub,2,0x1e64ff8168c0,188,"DoubleToIStub"
code-creation,Stub,2,0x1e64ff816980,942,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff816d40,332,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff816ea0,926,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff817240,360,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff8173c0,954,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff817780,360,"StoreFastElementStub"
tick,0xd9cb61,18752,0,0x0,4
code-creation,Stub,2,0x1e64ff817900,954,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff817cc0,336,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff817e20,938,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff8181e0,336,"StoreFastElementStub"
code-creation,Stub,2,0x1e64ff818340,938,"StoreFastElementStub"
tick,0x7f9f78594786,19828,0,0x0,4
code-creation,Stub,2,0x1e64ff818700,424,"TypeofStub"
code-creation,Stub,2,0x1e64ff8188c0,372,"JSEntryStub"
code-creation,Stub,2,0x1e64ff818a40,372,"JSConstructEntryStub"
code-creation,Builtin,4,0x1e64ff818bc0,112,"Illegal"
code-creation,Builtin,4,0x1e64ff818c40,112,"EmptyFunction"
code-creation,Builtin,4,0x1e64ff818cc0,112,"ArrayPush"
code-creation,Builtin,4,0x1e64ff818d40,112,"ArrayPop"
code-creation,Builtin,4,0x1e64ff818dc0,112,"ArrayShift"
code-creation,Builtin,4,0x1e64ff818e40,112,"ArrayUnshift"
code-creation,Builtin,4,0x1e64ff818ec0,112,"ArraySlice"
code-creation,Builtin,4,0x1e64ff818f40,112,"ArraySplice"
code-creation,Builtin,4,0x1e64ff818fc0,112,"ArrayConcat"
code-creation,Builtin,4,0x1e64ff819040,117,"HandleApiCall"
code-creation,Builtin,4,0x1e64ff8190c0,117,"HandleApiCallConstruct"
code-creation,Builtin,4,0x1e64ff819140,112,"HandleApiCallAsFunction"
code-creation,Builtin,4,0x1e64ff8191c0,112,"HandleApiCallAsConstructor"
code-creation,Builtin,4,0x1e64ff819240,112,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,4,0x1e64ff8192c0,112,"RestrictedStrictArgumentsPropertiesThrower"
code-creation,Builtin,4,0x1e64ff819340,410,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,4,0x1e64ff8194e0,183,"InOptimizationQueue"
code-creation,Builtin,4,0x1e64ff8195a0,688,"JSConstructStubGeneric"
code-creation,Builtin,4,0x1e64ff819860,264,"JSConstructStubForDerived"
code-creation,Builtin,4,0x1e64ff819980,570,"JSConstructStubApi"
code-creation,Builtin,4,0x1e64ff819bc0,691,"JSConstructStubNewTarget"
code-creation,Builtin,4,0x1e64ff819e80,260,"JSEntryTrampoline"
code-creation,Stub,2,0x1e64ff819fa0,197,"CallConstructStub"
code-creation,Builtin,4,0x1e64ff81a080,239,"JSConstructEntryTrampoline"
code-creation,Builtin,4,0x1e64ff81a180,155,"CompileLazy"
code-creation,Builtin,4,0x1e64ff81a220,167,"CompileOptimized"
code-creation,Builtin,4,0x1e64ff81a2e0,167,"CompileOptimizedConcurrent"
code-creation,Builtin,4,0x1e64ff81a3a0,206,"NotifyDeoptimized"
code-creation,Builtin,4,0x1e64ff81a480,216,"NotifySoftDeoptimized"
code-creation,Builtin,4,0x1e64ff81a560,216,"NotifyLazyDeoptimized"
code-creation,Builtin,4,0x1e64ff81a640,193,"NotifyStubFailure"
code-creation,Builtin,4,0x1e64ff81a720,193,"NotifyStubFailureSaveDoubles"
code-creation,Builtin,4,0x1e64ff81a800,119,"LoadIC_Miss"
code-creation,Builtin,4,0x1e64ff81a880,119,"KeyedLoadIC_Miss"
code-creation,Builtin,4,0x1e64ff81a900,118,"StoreIC_Miss"
code-creation,Builtin,4,0x1e64ff81a980,118,"KeyedStoreIC_Miss"
code-creation,Builtin,6,0x1e64ff81aa00,134,"LoadIC_Getter_ForDeopt"
code-creation,Stub,2,0x1e64ff81aaa0,968,"NameDictionaryLookupStub"
tick,0x7f9f7909a45b,20937,0,0x0,4
code-creation,Builtin,7,0x1e64ff81ae80,1037,"KeyedLoadIC_Megamorphic"
code-creation,Builtin,7,0x1e64ff81b2a0,1033,"KeyedLoadIC_Megamorphic_Strong"
code-creation,Builtin,9,0x1e64ff81b6c0,136,"StoreIC_Setter_ForDeopt"
code-creation,Builtin,10,0x1e64ff81b760,118,"KeyedStoreIC_Initialize"
code-creation,Builtin,10,0x1e64ff81b7e0,118,"KeyedStoreIC_PreMonomorphic"
code-creation,Stub,2,0x1e64ff81b860,1822,"RecordWriteStub"
code-creation,Stub,2,0x1e64ff81bf80,1804,"RecordWriteStub"
code-creation,Stub,2,0x1e64ff81c6a0,1786,"RecordWriteStub"
code-creation,Stub,2,0x1e64ff81cda0,796,"RecordWriteStub"
code-creation,Stub,2,0x1e64ff81d0c0,1805,"RecordWriteStub"
code-creation,Builtin,10,0x1e64ff81d7e0,3020,"KeyedStoreIC_Megamorphic"
code-creation,Builtin,10,0x1e64ff81e3c0,118,"KeyedStoreIC_Initialize_Strict"
code-creation,Builtin,10,0x1e64ff81e440,118,"KeyedStoreIC_PreMonomorphic_Strict"
code-creation,Builtin,10,0x1e64ff81e4c0,3030,"KeyedStoreIC_Megamorphic_Strict"
code-creation,Builtin,4,0x1e64ff81f0a0,463,"FunctionCall"
code-creation,Stub,7,0x1e64ff81f280,381,"KeyedLoadICStub"
code-creation,Builtin,4,0x1e64ff81f400,499,"FunctionApply"
code-creation,Builtin,4,0x1e64ff81f600,499,"ReflectApply"
code-creation,Stub,2,0x1e64ff81f800,199,"CallConstructStub"
code-creation,Builtin,4,0x1e64ff81f8e0,333,"ReflectConstruct"
code-creation,Stub,2,0x1e64ff81fa40,430,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,2,0x1e64ff81fc00,546,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x1e64ff81fe40,462,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,2,0x1e64ff820020,430,"InternalArrayNoArgumentConstructorStub"
tick,0xb70f90,21992,0,0x0,4
code-creation,Stub,2,0x1e64ff8201e0,546,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,2,0x1e64ff820420,462,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,2,0x1e64ff820600,206,"InternalArrayConstructorStub"
code-creation,Builtin,4,0x1e64ff8206e0,116,"InternalArrayCode"
code-creation,Stub,2,0x1e64ff820760,603,"ArrayConstructorStub_Any"
code-creation,Builtin,4,0x1e64ff8209c0,123,"ArrayCode"
code-creation,Builtin,4,0x1e64ff820a40,479,"StringConstructCode"
code-creation,Builtin,4,0x1e64ff820c20,175,"OnStackReplacement"
code-creation,Builtin,4,0x1e64ff820ce0,110,"InterruptCheck"
code-creation,Builtin,4,0x1e64ff820d60,162,"OsrAfterStackCheck"
code-creation,Builtin,4,0x1e64ff820e20,110,"StackCheck"
code-creation,Builtin,4,0x1e64ff820ea0,203,"MarkCodeAsToBeExecutedOnce"
